id,value
Alfenas (MG),5199
Alfredo Vasconcelos (MG),0
Almenara (MG),58
Alpercata (MG),0
Alpinópolis (MG),0
Alterosa (MG),0
Alto Caparaó (MG),0
Alto Rio Doce (MG),0
Alvarenga (MG),0
Alvinópolis (MG),0
Alvorada de Minas (MG),0
Amparo do Serra (MG),0
Andradas (MG),0
Cachoeira de Pajeú (MG),0
Andrelândia (MG),0
Angelândia (MG),0
Antônio Carlos (MG),0
Antônio Dias (MG),0
Antônio Prado de Minas (MG),0
Araçaí (MG),0
Aracitaba (MG),0
Araçuaí (MG),0
Araguari (MG),21
Arantina (MG),0
Araponga (MG),0
Araporã (MG),0
Arapuá (MG),0
Araújos (MG),0
Araxá (MG),3
Arceburgo (MG),0
Arcos (MG),0
Areado (MG),0
Argirita (MG),0
Aricanduva (MG),0
Arinos (MG),0
Astolfo Dutra (MG),0
Ataléia (MG),0
Augusto de Lima (MG),0
Baependi (MG),0
Baldim (MG),0
Bambuí (MG),0
Bandeira (MG),0
Bandeira do Sul (MG),0
Barão de Cocais (MG),0
Barão de Monte Alto (MG),0
Barbacena (MG),0
Barra Longa (MG),0
Barroso (MG),0
Bela Vista de Minas (MG),0
Belmiro Braga (MG),0
Belo Horizonte (MG),119250
Belo Oriente (MG),0
Belo Vale (MG),0
Berilo (MG),0
Bertópolis (MG),0
Berizal (MG),0
Betim (MG),18
Bias Fortes (MG),0
Bicas (MG),0
Biquinhas (MG),0
Boa Esperança (MG),43
Bocaina de Minas (MG),0
Bocaiúva (MG),0
Bom Despacho (MG),0
Bom Jardim de Minas (MG),0
Bom Jesus da Penha (MG),0
Bom Jesus do Amparo (MG),0
Bom Jesus do Galho (MG),0
Bom Repouso (MG),0
Bom Sucesso (MG),0
Bonfim (MG),0
Bonfinópolis de Minas (MG),0
Bonito de Minas (MG),0
Borda da Mata (MG),0
Botelhos (MG),0
Botumirim (MG),0
Brasilândia de Minas (MG),0
Brasília de Minas (MG),0
Brás Pires (MG),0
Braúnas (MG),0
Brazópolis (MG),0
Brumadinho (MG),0
Bueno Brandão (MG),0
Buenópolis (MG),0
Bugre (MG),0
