"grande_area","area","subarea","valor"
"Ciências Exatas e da Terra","Ciência da Computação","Arquitetura de Sistemas de Computação","1872786773"
"Ciências Biológicas","Microbiologia","Virologia","1869724889"
"Ciências da Saúde","Odontologia","Cirurgia Buco-Maxilo-Facial","1868811747"
"Engenharias","Engenharia Elétrica","Geração da Energia Elétrica","1842186066"
"Ciências Exatas e da Terra","Química","Síntese Orgânica","1832205959"
"Ciências da Saúde","Enfermagem","Enfermagem em Saúde Coletiva","1786664834"
"Engenharias","Engenharia Elétrica","Sistemas de Telecomunicações","1769707934"
"Lingüística, Letras e Artes","Artes","Dança","1757313250"
"Ciências Agrárias","Recursos Pesqueiros e Engenharia de Pesca","Piscicultura","1756999007"
"Lingüística, Letras e Artes","Artes","Cinema","1745836845"
"Lingüística, Letras e Artes","Letras","Língua Portuguesa","1743048876"
"Engenharias","Engenharia Elétrica","Materiais Elétricos","1741022016"
"Lingüística, Letras e Artes","Lingüística","Sociolingüística e Dialetologia","1731374657"
"Engenharias","Engenharia de Transportes","Operações de Transportes","1718132878"
"Ciências Exatas e da Terra","Ciência da Computação","Processamento Gráfico (Graphics)","1707115922"
"Engenharias","Engenharia Civil","Mecânica das Estruturas","1699362277"
"Ciências Sociais Aplicadas","Economia","Crescimento, Flutuações e Planejamento Econômico","1688159384"
"Ciências Exatas e da Terra","Química","Cinética Química e Catálise","1678534014"
"Engenharias","Engenharia Aeroespacial","Aerodinâmica","1654139308"
"Ciências Agrárias","Ciência e Tecnologia de Alimentos","Química, Física, Fisico-Química e Bioquímica dos Alim. e das Mat-Primas Alimentares","1653571246"
"Engenharias","Engenharia Mecânica","Máquinas, Motores e Equipamentos","1649595114"
"Ciências Humanas","Arqueologia","Teoria e Método em Arqueologia","1626620799"
"Ciências Exatas e da Terra","Química","Química Teórica","1623109771"
"Ciências Agrárias","Agronomia","Microbiologia e Bioquímica do Solo","1589398956"
"Engenharias","Engenharia Química","Reatores Químicos","1581095943"
"Ciências da Saúde","Odontologia","Periodontia","1555555581"
"Engenharias","Engenharia de Materiais e Metalúrgica","Engenharia de Materiais e Metalúrgica","1553229375"
"Ciências Humanas","História","Teoria e Filosofia da História","1544545853"
"Ciências Agrárias","Agronomia","Manejo e Tratos Culturais","1542600724"
"Ciências Sociais Aplicadas","Economia","Métodos Quantitativos em Economia","1537194469"
"Ciências Biológicas","Bioquímica","Enzimologia","1537018227"
"Engenharias","Engenharia Química","Operações de Separação e Mistura","1504713685"
"Ciências Exatas e da Terra","Ciência da Computação","Teleinformática","1500895988"
"Ciências da Saúde","Enfermagem","Enfermagem Obstétrica","1491883786"
"Ciências da Saúde","Medicina","Endocrinologia","1440786955"
"Ciências Humanas","História","História","1440182816"
"Ciências da Saúde","Saúde Coletiva","Saúde Coletiva","1438562932"
"Ciências Humanas","Sociologia","Sociologia","1430353517"
"Ciências Biológicas","Morfologia","Anatomia","1428667710"
"Ciências Agrárias","Agronomia","Fertilidade do Solo e Adubação","1419544859"
"Ciências Agrárias","Agronomia","Floricultura, Parques e Jardins","1419255731"
"Engenharias","Engenharia de Produção","Engenharia de Produção","1415487631"
"Ciências Exatas e da Terra","Oceanografia","Interação entre os Organismos Marinhos e os Parâmetros Ambientais","1409321068"
"Ciências Agrárias","Medicina Veterinária","Doenças Infecciosas de Animais","1405398637"
"Outra","Microeletrônica","Microeletrônica","1393373385"
"Ciências Humanas","Filosofia","Filosofia Brasileira","1390923584"
"Ciências Humanas","Antropologia","Antropologia Rural","1381626589"
"Ciências Biológicas","Parasitologia","Protozoologia Parasitária Humana","1362116411"
"Ciências Biológicas","Ecologia","Ecologia","1353326801"
"Ciências Humanas","Teologia","Ciências da Religião Aplicada","1343114833"
"Engenharias","Engenharia Elétrica","Controle de Processos Eletrônicos, Retroalimentação","1328726414"
"Ciências Biológicas","Zoologia","Conservação das Espécies Animais","1316301282"
"Ciências da Saúde","Odontologia","Radiologia Odontológica","1315578137"
"Engenharias","Engenharia Mecânica","Termodinâmica","1314859700"
"Engenharias","Microeletrônica","Processos de Fabricação","1314741327"
"Engenharias","Engenharia Elétrica","Transmissão da Energia Elétrica, Distribuição da Energia Elétrica","1301394271"
"Ciências Agrárias","Zootecnia","Avaliação de Alimentos para Animais","1287772062"
"Ciências Humanas","Psicologia","Psicologia","1283378278"
